"id","id_assessment","id_student","date_submitted","is_banked","score","total_vle_before_assessment"
"2749","14984","2535788","27","0","65","43"
"2750","14984","2540362","16","0","70","17"
"2784","14984","2541120","19","0","79","7"
"2787","14984","2553749","31","0","75","15"
"2790","14984","2560219","19","0","65","20"
"2794","14984","2569163","16","0","81","13"
"2798","14984","2571447","18","0","81","20"
"2801","14984","2572118","19","0","70","13"
"2804","14984","2575914","16","0","82","19"
"2805","14984","2578567","19","0","78","26"
"2808","14984","2579459","16","0","72","22"
"2810","14984","2580439","19","0","83","15"
"2812","14984","2581528","19","0","74","12"
"2814","14984","2591421","19","0","60","17"
"2816","14984","2602809","18","0","62","27"
"2819","14984","2608235","17","0","60","28"
"2857","14984","2608453","19","0","79","64"
"2860","14984","2612483","15","0","90","11"
"2863","14984","2616787","25","0","75","10"
"2865","14984","2617596","16","0","93","28"
"2868","14984","2617999","18","0","63","16"
"2871","14984","2620178","17","0","87","19"
"2874","14984","2622465","16","0","80","25"
"2876","14984","2626410","13","0","76","27"
"2879","14984","2635505","24","0","70","15"
"2881","14984","2635829","11","0","74","15"
"2883","14984","2639611","17","0","88","14"
"2885","14984","2641393","19","0","76","26"
"2887","14984","2642029","17","0","94","16"
"2889","14984","2645061","18","0","77","16"
"2891","14984","2649947","18","0","73","17"
"2893","14984","2654302","22","0","70","16"
"2895","14984","2664301","19","0","74","5"
"2896","14984","2680770","19","0","69","14"
"2897","14984","2685831","16","0","78","13"
"2898","14984","2692384","17","0","74","29"
"2899","14984","23629","9","0","67","7"
"2900","14984","25107","20","0","59","12"
"2901","14984","27891","18","0","73","21"
"2902","14984","29144","18","0","60","20"
"2903","14984","31663","18","0","88","37"
"2904","14984","33666","18","0","58","12"
"2905","14984","34229","19","0","73","19"
"2906","14984","34353","18","0","95","12"
"2907","14984","442466","-1","1","72","0"
"2908","14984","34756","21","0","71","9"
"2909","14984","443108","19","0","73","11"
"2910","14984","34863","20","0","64","7"
"2911","14984","443288","18","0","83","17"
"2912","14984","35812","19","0","71","4"
"2913","14984","444117","16","0","77","13"
"2914","14984","39655","18","0","78","17"
"2915","14984","444408","19","0","84","23"
"2916","14984","50993","19","0","61","5"
"2917","14984","444784","29","0","70","20"
"2918","14984","52899","26","0","72","91"
"2919","14984","444926","26","0","56","11"
"2920","14984","58089","18","0","75","17"
"2922","14984","445065","16","0","74","42"
"2923","14984","62631","18","0","75","12"
"2925","14984","70608","18","0","81","10"
"2926","14984","445125","17","0","73","11"
"2928","14984","74695","18","0","90","37"
"2930","14984","74734","18","0","78","13"
"2932","14984","75399","19","0","65","14"
"2939","14984","445889","15","0","55","6"
"2941","14984","446045","16","0","65","7"
"2944","14984","446247","18","0","83","11"
"2946","14984","446357","43","0","53","4"
"2948","14984","446856","17","0","76","20"
"2950","14984","447759","18","0","85","22"
"2952","14984","447782","19","0","38","42"
"2954","14984","465599","19","0","65","10"
"2956","14984","465730","19","0","78","10"
"2958","14984","466037","19","0","95","15"
"2960","14984","466800","18","0","69","6"
"2962","14984","466810","13","0","77","32"
"2963","14984","78645","17","0","75","17"
"2965","14984","466959","19","0","65","9"
"2966","14984","82535","18","0","73","11"
"2968","14984","466973","24","0","75","12"
"2969","14984","82741","15","0","68","13"
"2970","14984","467035","18","0","80","15"
"2971","14984","83254","25","0","77","18"
"2972","14984","467292","19","0","73","21"
"2973","14984","84245","-4","0","82","9"
"2974","14984","467756","18","0","67","11"
"2975","14984","84664","17","0","87","16"
"2976","14984","468021","19","0","51","12"
"2977","14984","86291","72","0","87","8"
"2978","14984","468792","19","0","87","18"
"2979","14984","87732","19","0","81","19"
"2980","14984","468949","19","0","73","16"
"2981","14984","91322","20","0","78","17"
"2982","14984","469683","19","0","50","6"
"2983","14984","92274","18","0","67","27"
"2984","14984","470318","17","0","80","29"
"2985","14984","92832","17","0","62","11"
"2986","14984","470653","18","0","83","21"
"2987","14984","92947","17","0","70","16"
"2988","14984","471219","18","0","74","28"
"2989","14984","92993","18","0","63","25"
"2990","14984","471525","16","0","79","27"
"2991","14984","94616","25","0","70","12"
"2992","14984","472182","19","0","69","14"
"2993","14984","97154","18","0","85","25"
"2994","14984","472348","22","0","38","3"
"2995","14984","98313","16","0","74","0"
"2996","14984","472586","18","0","40","14"
"2998","14984","104054","18","0","87","21"
"2999","14984","473095","19","0","68","28"
"3000","14984","108377","6","0","87","20"
"3001","14984","473328","18","0","85","9"
"3003","14984","108589","18","0","73","11"
"3004","14984","475095","19","0","95","25"
"3005","14984","109938","16","0","87","15"
"3007","14984","110881","18","0","75","67"
"3009","14984","116603","18","0","83","15"
"3011","14984","120994","41","0","70","46"
"3013","14984","123860","18","0","60","29"
"3014","14984","475460","18","0","59","7"
"3016","14984","126322","18","0","65","7"
"3017","14984","475688","28","0","49","21"
"3019","14984","133155","19","0","87","11"
"3020","14984","476037","91","0","48","67"
"3022","14984","133748","13","0","74","21"
"3023","14984","476201","18","0","73","16"
"3024","14984","141823","10","0","58","12"
"3026","14984","476297","25","0","58","6"
"3027","14984","142324","18","0","70","18"
"3029","14984","476369","17","0","90","16"
"3030","14984","143741","18","0","74","21"
"3032","14984","476457","19","0","68","18"
"3033","14984","145544","19","0","77","18"
"3035","14984","147876","22","0","84","28"
"3037","14984","151697","17","0","86","10"
"3039","14984","152153","18","0","67","19"
"3041","14984","152910","18","0","72","26"
"3043","14984","152929","18","0","73","0"
"3046","14984","153212","18","0","90","10"
"3048","14984","153704","18","0","83","27"
"3050","14984","154027","18","0","76","10"
"3052","14984","154125","18","0","79","5"
"3054","14984","154540","17","0","83","10"
"3056","14984","156835","18","0","80","23"
"3058","14984","161678","26","0","40","15"
"3060","14984","165243","18","0","80","33"
"3062","14984","169515","-5","0","70","12"
"3063","14984","476596","18","0","73","22"
"3065","14984","476709","19","0","80","27"
"3067","14984","476710","19","0","70","41"
"3069","14984","476783","13","0","78","24"
"3071","14984","477009","11","0","69","6"
"3073","14984","477011","25","0","68","23"
"3075","14984","477164","18","0","65","13"
"3077","14984","477167","15","0","64","6"
"3079","14984","477734","15","0","56","25"
"3081","14984","477835","27","0","63","4"
"3083","14984","478317","19","0","67","59"
"3087","14984","170356","18","0","65","28"
"3089","14984","173316","18","0","60","11"
"3091","14984","173335","18","0","73","13"
"3093","14984","179605","16","0","60","11"
"3095","14984","182824","19","0","71","20"
"3097","14984","183806","18","0","85","10"
"3099","14984","185349","14","0","79","20"
"3101","14984","186670","18","0","60","15"
"3103","14984","186780","77","0",,"10"
"3105","14984","186988","24","0","53","18"
"3107","14984","187793","18","0","50","11"
"3109","14984","188152","18","0","87","20"
"3111","14984","192424","17","0","80","25"
"3113","14984","193822","18","0","70","18"
"3116","14984","197595","18","0","75","23"
"3118","14984","198956","18","0","89","26"
"3121","14984","199520","17","0","75","16"
"3123","14984","478444","18","0","73","13"
"3124","14984","200905","19","0","66","30"
"3126","14984","478792","19","0","69","18"
"3127","14984","203108","19","0","85","22"
"3129","14984","478873","34","0","58","19"
"3130","14984","203481","19","0","79","24"
"3132","14984","204746","17","0","78","13"
"3133","14984","479060","17","0","95","15"
"3135","14984","226374","18","0","78","8"
"3136","14984","479171","16","0","78","27"
"3137","14984","226827","16","0","81","20"
"3139","14984","479343","8","0","83","5"
"3140","14984","229240","17","0","69","25"
"3142","14984","479516","18","0","81","15"
"3143","14984","229426","11","0","75","15"
"3145","14984","232695","18","0","75","18"
"3147","14984","235097","18","0","61","31"
"3149","14984","237304","21","0","45","10"
"3151","14984","237913","19","0","88","46"
"3153","14984","242149","17","0","75","18"
"3155","14984","245404","18","0","86","18"
"3157","14984","247267","18","0","85","24"
"3159","14984","248103","18","0","77","17"
"3161","14984","249534","19","0","59","16"
"3163","14984","251351","18","0","82","10"
"3165","14984","479519","17","0","75","22"
"3167","14984","480382","19","0","72","19"
"3169","14984","480458","19","0","61","17"
"3171","14984","480507","14","0","77","7"
"3174","14984","480554","18","0","85","19"
"3176","14984","480650","18","0","88","19"
"3179","14984","480815","13","0","57","13"
"3182","14984","481010","18","0","93","26"
"3185","14984","481143","17","0","62","0"
"3190","14984","252340","9","0","78","6"
"3193","14984","255347","15","0","80","23"
"3196","14984","255998","19","0","49","17"
"3198","14984","262294","19","0","30","29"
"3200","14984","262454","19","0","70","8"
"3201","14984","262741","19","0","84","32"
"3203","14984","263499","18","0","73","46"
"3205","14984","265958","19","0","80","16"
"3206","14984","267761","17","0","80","22"
"3208","14984","269076","15","0","64","17"
"3210","14984","270567","18","0","85","7"
"3212","14984","271036","13","0","62","6"
"3215","14984","272580","16","0","80","13"
"3217","14984","273731","13","0","80","20"
"3220","14984","273877","19","0","58","15"
"3223","14984","276717","18","0","90","16"
"3224","14984","277733","17","0","73","15"
"3225","14984","278447","19","0","82","13"
"3226","14984","281564","17","0","60","14"
"3227","14984","284076","11","0","71","14"
"3228","14984","285633","17","0","61","22"
"3229","14984","285912","18","0","83","6"
"3230","14984","288380","25","0","54","2"
"3231","14984","481580","17","0","75","14"
"3232","14984","288990","23","0","51","7"
"3233","14984","481607","17","0","85","21"
"3234","14984","290550","18","0","74","11"
"3235","14984","482467","17","0","70","5"
"3236","14984","291037","17","0","61","17"
"3238","14984","482710","32","0","79","14"
"3239","14984","291194","18","0","71","19"
"3241","14984","482766","15","0","70","10"
"3243","14984","482945","31","0","58","13"
"3245","14984","483064","18","0","72","27"
"3247","14984","483074","22","0","82","15"
"3249","14984","483109","16","0","65","24"
"3251","14984","483243","14","0","72","36"
"3253","14984","483371","17","0","77","25"
"3255","14984","483411","19","0","83","5"
"3257","14984","483479","19","0","84","13"
"3259","14984","292027","14","0","80","6"
"3260","14984","483952","18","0","54","4"
"3263","14984","294381","18","0","71","15"
"3264","14984","484039","19","0","70","16"
"3266","14984","294961","18","0","65","30"
"3296","14984","484135","19","0","73","15"
"3299","14984","484768","16","0","60","15"
"3301","14984","484885","-1","1","57","1"
"3304","14984","484933","17","0","88","7"
"3307","14984","485399","18","0","73","20"
"3309","14984","485630","16","0","62","20"
"3311","14984","486099","18","0","85","28"
"3313","14984","486282","26","0","67","21"
"3314","14984","486391","9","0","79","11"
"3316","14984","486521","17","0","72","7"
"3318","14984","486656","18","0","80","16"
"3320","14984","487329","19","0","68","6"
"3322","14984","294999","18","0","62","9"
"3325","14984","295754","19","0","83","19"
"3328","14984","297484","15","0","88","15"
"3359","14984","298322","16","0","67","79"
"3361","14984","298476","19","0","73","24"
"3363","14984","306886","22","0","65","14"
"3365","14984","309175","19","0","60","4"
"3367","14984","309709","19","0","65","16"
"3368","14984","487646","15","0","70","2"
"3369","14984","309734","19","0","71","25"
"3372","14984","488185","18","0","72","16"
"3373","14984","311042","18","0","65","3"
"3376","14984","488425","19","0","78","23"
"3377","14984","312141","17","0","68","8"
"3378","14984","488477","18","0","62","14"
"3381","14984","488863","18","0","74","11"
"3384","14984","489251","16","0","63","7"
"3386","14984","490152","18","0","78","21"
"3389","14984","490514","17","0","75","11"
"3392","14984","492182","17","0","85","15"
"3395","14984","492240","18","0","88","19"
"3397","14984","492590","15","0","75","14"
"3400","14984","492946","18","0","70","22"
"3403","14984","493186","18","0","80","11"
"3406","14984","493377","38","0","73","12"
"3415","14984","313810","18","0","87","18"
"3417","14984","315186","15","0","80","10"
"3419","14984","316841","17","0","73","24"
"3421","14984","318056","17","0","85","21"
"3423","14984","318101","19","0","59","29"
"3424","14984","319209","17","0","82","21"
"3426","14984","322960","18","0","87","23"
"3428","14984","324236","19","0","75","27"
"3430","14984","325511","18","0","73","5"
"3431","14984","533347","16","0","46","17"
"3432","14984","325879","16","0","65","14"
"3434","14984","326012","26","0","64","15"
"3435","14984","533365","31","0","70","15"
"3437","14984","329226","13","0","75","6"
"3439","14984","533545","17","0","65","16"
"3440","14984","329321","18","0","50","17"
"3442","14984","329800","19","0","85","19"
"3444","14984","331354","17","0","75","17"
"3446","14984","331844","13","0","80","17"
"3448","14984","333129","19","0","50","25"
"3450","14984","333837","19","0","85","10"
"3452","14984","334291","18","0","75","20"
"3454","14984","334794","19","0","53","17"
"3456","14984","335421","23","0","51","12"
"3458","14984","335910","19","0","65","12"
"3467","14984","1008675","19","0","70","15"
"3468","14984","1098728","19","0","75","16"
"3469","14984","1413989","30","0","86","16"
"3470","14984","1436591","14","0","77","19"
"3471","14984","533697","19","0","73","18"
"3472","14984","1480800","15","0","77","4"
"3473","14984","533722","17","0","79","18"
"3474","14984","1493476","19","0","75","10"
"3475","14984","493451","20","0","77","13"
"3476","14984","533839","19","0","75","15"
"3477","14984","336165","24","0","35","21"
"3478","14984","1521540","16","0","83","16"
"3479","14984","493515","20","0","87","16"
"3480","14984","338056","17","0","67","6"
"3481","14984","533969","18","0","70","6"
"3482","14984","1536591","19","0","70","44"
"3483","14984","493773","19","0","81","9"
"3484","14984","338861","17","0","63","13"
"3485","14984","1574398","17","0","78","32"
"3486","14984","533996","18","0","70","23"
"3487","14984","493912","19","0","60","11"
"3488","14984","339379","16","0","85","16"
"3489","14984","1659662","18","0","72","10"
"3490","14984","339946","19","0","86","18"
"3491","14984","534051","18","0","80","14"
"3492","14984","340831","19","0","75","51"
"3493","14984","1678401","18","0","57","39"
"3494","14984","534086","18","0","71","14"
"3495","14984","341040","11","0","83","10"
"3496","14984","534151","7","0",,"0"
"3497","14984","1721462","21","0","74","15"
"3498","14984","534343","16","0","77","16"
"3499","14984","1728437","19","0","85","8"
"3500","14984","534360","19","0","70","15"
"3501","14984","1730702","22","0","60","14"
"3502","14984","534373","17","0","73","12"
"3503","14984","1747892","17","0","75","47"
"3504","14984","534432","17","0","87","21"
"3505","14984","1753965","19","0","79","15"
"3506","14984","534652","17","0","93","14"
"3507","14984","1770733","18","0","80","17"
"3508","14984","534698","14","0","77","18"
"3509","14984","1771053","17","0","60","21"
"3510","14984","1776925","26","0","64","9"
"3511","14984","534709","19","0","64","15"
"3512","14984","1789199","19","0","57","11"
"3513","14984","534744","18","0","80","9"
"3514","14984","1797614","-1","1","88","6"
"3515","14984","534765","17","0","67","5"
"3516","14984","534908","47","0","41","19"
"3517","14984","1847146","21","0","65","16"
"3518","14984","493958","19","0","55","4"
"3519","14984","534983","18","0","65","12"
"3520","14984","494095","20","0","68","12"
"3521","14984","534991","18","0","40","10"
"3522","14984","494278","19","0","91","15"
"3523","14984","535012","18","0","71","26"
"3524","14984","341229","17","0","70","14"
"3525","14984","494786","17","0","79","1"
"3526","14984","535140","18","0","70","18"
"3527","14984","341509","19","0","65","15"
"3528","14984","494838","23","0","77","16"
"3529","14984","1858523","15","0","62","10"
"3530","14984","349040","10","0","72","15"
"3531","14984","535145","18","0","73","21"
"3532","14984","494840","23","0","77","35"
"3533","14984","350622","39","0","84","15"
"3534","14984","1903527","17","0","80","33"
"3535","14984","494927","18","0","84","24"
"3536","14984","535152","22","0","71","27"
"3537","14984","350795","19","0","78","13"
"3538","14984","351271","18","0","75","15"
"3539","14984","495674","10","0","43","8"
"3540","14984","535155","16","0","70","44"
"3541","14984","351290","16","0","68","13"
"3542","14984","495856","18","0","86","14"
"3543","14984","351543","-1","1","35","0"
"3544","14984","535269","18","0","74","32"
"3545","14984","496041","19","0","77","13"
"3546","14984","352161","26","0","75","3"
"3547","14984","352364","12","0","92","14"
"3548","14984","535278","19","0","73","7"
"3549","14984","535328","19","0","78","15"
"3550","14984","353093","17","0","73","27"
"3551","14984","1904710","12","0","73","11"
"3552","14984","353352","18","0","82","6"
"3553","14984","535396","18","0","65","25"
"3554","14984","1912438","18","0","85","19"
"3555","14984","354058","17","0","61","3"
"3556","14984","535407","19","0","73","15"
"3557","14984","496070","18","0","65","19"
"3558","14984","1923618","18","0","89","23"
"3559","14984","354895","17","0","83","22"
"3560","14984","496220","18","0","59","6"
"3561","14984","535468","18","0","75","19"
"3562","14984","1930367","17","0","87","20"
"3563","14984","355369","28","0","70","26"
"3564","14984","496243","16","0","67","18"
"3565","14984","1937864","18","0","78","2"
"3566","14984","535530","16","0","83","16"
"3567","14984","355998","18","0","55","5"
"3568","14984","496674","14","0","42","0"
"3569","14984","1971393","11","0","89","7"
"3570","14984","535605","17","0","93","16"
"3571","14984","497278","39","0","65","53"
"3572","14984","1993672","35","0","52","63"
"3573","14984","497280","19","0","69","2"
"3574","14984","535755","17","0","70","11"
"3575","14984","1997796","21","0","85","26"
"3576","14984","497468","17","0","68","12"
"3577","14984","535760","15","0","64","9"
"3578","14984","2019837","16","0","72","16"
"3579","14984","497793","17","0","69","19"
"3580","14984","535773","19","0","89","59"
"3581","14984","535778","4","0","80","2"
"3582","14984","535800","16","0","81","21"
"3583","14984","535807","18","0","58","8"
"3584","14984","535820","18","0","80","23"
"3585","14984","536112","18","0","80","7"
"3586","14984","536188","17","0","73","17"
"3587","14984","536189","17","0","83","17"
"3588","14984","536203","17","0","45","19"
"3589","14984","536205","18","0","79","6"
"3590","14984","536270","5","0","69","14"
"3591","14984","536442","14","0","60","18"
"3592","14984","536452","18","0","77","12"
"3593","14984","536510","23","0","65","12"
"3594","14984","536722","17","0","60","10"
"3595","14984","357030","18","0","70","9"
"3596","14984","536726","17","0","84","22"
"3597","14984","498065","15","0","79","15"
"3598","14984","357928","15","0","59","19"
"3599","14984","536856","17","0","55","26"
"3600","14984","498131","18","0","63","10"
"3601","14984","360188","16","0","93","22"
"3602","14984","536900","18","0","80","3"
"3603","14984","498175","17","0","75","12"
"3604","14984","360489","17","0","80","8"
"3605","14984","537162","17","0","87","31"
"3606","14984","360877","18","0","82","21"
"3607","14984","537193","19","0","77","22"
"3608","14984","361603","18","0","80","16"
"3609","14984","537255","17","0","80","23"
"3610","14984","362760","18","0","43","47"
"3611","14984","537259","19","0","59","18"
"3612","14984","362877","18","0","57","18"
"3613","14984","537342","17","0","85","18"
"3614","14984","363401","19","0","39","6"
"3615","14984","537392","22","0","63","22"
"3616","14984","2023366","19","0","91","18"
"3617","14984","363416","20","0","75","15"
"3618","14984","537414","18","0","64","4"
"3619","14984","2034350","15","0","87","45"
"3620","14984","363660","16","0","80","18"
"3621","14984","537434","18","0","88","24"
"3622","14984","2092834","17","0","70","19"
"3623","14984","365439","19","0","78","20"
"3624","14984","537464","18","0","73","13"
"3625","14984","365452","19","0","69","21"
"3626","14984","365488","24","0","79","9"
"3627","14984","2097916","14","0","95","42"
"3628","14984","537473","19","0","56","32"
"3629","14984","365707","18","0","80","36"
"3630","14984","2132811","19","0","75","17"
"3631","14984","537488","17","0","90","21"
"3632","14984","367304","27","0","60","11"
"3633","14984","2173572","19","0","75","23"
"3634","14984","367348","23","0","70","5"
"3635","14984","498296","18","0","73","41"
"3636","14984","2205383","19","0","93","26"
"3637","14984","367609","18","0","85","31"
"3638","14984","498371","16","0","50","22"
"3639","14984","2210318","19","0","86","7"
"3640","14984","2231614","19","0","63","24"
"3641","14984","537558","18","0","87","16"
"3642","14984","2236738","17","0","84","19"
"3643","14984","537572","8","0","76","19"
"3644","14984","537679","19","0","85","20"
"3645","14984","2243551","19","0","39","2"
"3646","14984","498455","19","0","50","17"
"3647","14984","537688","3","0","85","13"
"3648","14984","2244724","19","0","62","6"
"3649","14984","498967","17","0","58","5"
"3650","14984","499027","22","0","65","3"
"3651","14984","2249372","18","0","75","31"
"3652","14984","537704","18","0","65","22"
"3653","14984","499067","18","0","45","11"
"3654","14984","2254619","16","0","74","18"
"3655","14984","499118","19","0","75","18"
"3656","14984","2269480","18","0","87","14"
"3657","14984","499380","13","0","85","18"
"3658","14984","2273828","19","0","82","58"
"3659","14984","499387","19","0","62","19"
"3660","14984","2279538","19","0","52","0"
"3661","14984","499483","20","0","60","10"
"3662","14984","2288607","15","0","70","24"
"3663","14984","499511","17","0","88","21"
"3664","14984","370302","19","0","40","16"
"3665","14984","2290090","18","0","80","11"
"3666","14984","499891","18","0","70","20"
"3667","14984","2291598","18","0","67","25"
"3668","14984","370720","17","0","69","7"
"3669","14984","2293443","16","0","77","26"
"3670","14984","371679","16","0","95","45"
"3671","14984","2296749","26","0","70","11"
"3672","14984","374102","18","0","77","19"
"3673","14984","2300911","23","0","75","15"
"3674","14984","374234","17","0","75","25"
"3675","14984","2301111","16","0","91","10"
"3676","14984","376617","19","0","68","18"
"3677","14984","2302925","18","0","83","17"
"3678","14984","377759","17","0","85","32"
"3679","14984","2308528","16","0","70","20"
"3680","14984","377846","19","0","55","20"
"3681","14984","2322046","15","0","50","5"
"3682","14984","377905","19","0","75","12"
"3683","14984","2322342","18","0","78","28"
"3684","14984","378462","18","0","90","14"
"3685","14984","2327072","12","0","87","3"
"3686","14984","378543","19","0","83","14"
"3687","14984","2336550","17","0","55","18"
"3688","14984","378721","27","0","65","9"
"3689","14984","2366070","19","0","73","20"
"3690","14984","379402","19","0","60","9"
"3691","14984","2375144","17","0","80","33"
"3692","14984","381722","18","0","73","15"
"3693","14984","2376628","16","0","73","10"
"3694","14984","384678","18","0","48","25"
"3695","14984","2377567","18","0","61","20"
"3696","14984","384909","17","0","60","20"
"3697","14984","385034","18","0","68","14"
"3698","14984","2380539","19","0","93","37"
"3699","14984","500507","19","0","69","13"
"3700","14984","386348","-1","1","78","10"
"3701","14984","2384819","19","0","77","9"
"3702","14984","500585","1","0","57","12"
"3703","14984","387702","19","0","75","13"
"3704","14984","537844","16","0","75","39"
"3705","14984","2395222","18","0","83","12"
"3706","14984","388205","18","0","62","10"
"3707","14984","500659","19","0","39","7"
"3708","14984","2418877","20","0","75","15"
"3709","14984","537875","19","0","70","16"
"3710","14984","500719","17","0","80","15"
"3711","14984","2425726","18","0","62","23"
"3712","14984","537898","18","0","42","13"
"3713","14984","500791","29","0","69","34"
