"code_module","code_presentation","id_student","gender","region","highest_education","imd_band","age_band","num_of_prev_attempts","studied_credits","disability","final_result"
"BBB","2013B","23629","F","East Anglian Region","Lower Than A Level","20-30%","0-35","2","60","N","Fail"
"BBB","2013B","25107","F","East Anglian Region","Lower Than A Level","20-30%","0-35","0","120","N","Pass"
"BBB","2013B","27891","M","Scotland","Lower Than A Level","0-10%","0-35","2","120","Y","Withdrawn"
"BBB","2013B","29144","M","South Region","Lower Than A Level","60-70%","0-35","0","120","N","Fail"
"BBB","2013B","31663","M","North Region","A Level or Equivalent","30-40%","35-55","0","60","N","Pass"
"BBB","2013B","33666","F","London Region","A Level or Equivalent","10-20","0-35","1","60","N","Withdrawn"
"BBB","2013B","34229","F","Ireland","A Level or Equivalent","0-10%","35-55","2","120","N","Pass"
"BBB","2013B","34353","M","Scotland","A Level or Equivalent","70-80%","35-55","0","120","Y","Fail"
"BBB","2013B","34431","F","Yorkshire Region","Lower Than A Level","70-80%","0-35","0","60","N","Withdrawn"
"BBB","2013B","34756","F","East Midlands Region","Lower Than A Level","10-20","0-35","1","150","N","Withdrawn"
"BBB","2013B","34863","F","London Region","A Level or Equivalent","50-60%","0-35","0","60","N","Pass"
"BBB","2013B","35812","F","East Anglian Region","Lower Than A Level","30-40%","0-35","0","60","N","Fail"
"BBB","2013B","39655","F","Scotland","Lower Than A Level","50-60%","0-35","0","120","N","Distinction"
"BBB","2013B","50993","F","Scotland","Lower Than A Level","0-10%","0-35","0","60","Y","Fail"
"BBB","2013B","52899","F","East Midlands Region","Lower Than A Level","50-60%","35-55","0","60","N","Withdrawn"
"BBB","2013B","58089","F","West Midlands Region","A Level or Equivalent","40-50%","0-35","2","90","N","Fail"
"BBB","2013B","62631","F","North Western Region","A Level or Equivalent","20-30%","0-35","0","60","N","Fail"
"BBB","2013B","70608","F","South East Region","HE Qualification","70-80%","35-55","0","240","N","Distinction"
"BBB","2013B","74695","F","North Region","Lower Than A Level","40-50%","0-35","0","90","N","Distinction"
"BBB","2013B","74734","F","North Western Region","Lower Than A Level","0-10%","0-35","0","180","N","Pass"
"BBB","2013B","75399","F","East Anglian Region","Lower Than A Level","60-70%","35-55","0","60","N","Pass"
"BBB","2013B","78645","F","East Anglian Region","Lower Than A Level","40-50%","0-35","0","60","N","Fail"
"BBB","2013B","82535","F","Wales","Lower Than A Level","20-30%","0-35","0","180","N","Pass"
"BBB","2013B","82741","F","East Anglian Region","Lower Than A Level","50-60%","0-35","0","60","N","Pass"
"BBB","2013B","83254","F","London Region","HE Qualification","10-20","35-55","0","60","N","Pass"
"BBB","2013B","84245","M","Wales","A Level or Equivalent","50-60%","0-35","0","120","N","Distinction"
"BBB","2013B","84664","F","North Western Region","A Level or Equivalent","60-70%","35-55","0","60","N","Pass"
"BBB","2013B","86291","F","Wales","HE Qualification","50-60%","35-55","0","60","N","Withdrawn"
"BBB","2013B","87732","M","East Midlands Region","A Level or Equivalent","30-40%","35-55","0","75","N","Pass"
"BBB","2013B","91322","F","Yorkshire Region","A Level or Equivalent","40-50%","35-55","0","60","N","Pass"
"BBB","2013B","92274","F","East Anglian Region","Lower Than A Level","60-70%","0-35","0","60","N","Withdrawn"
"BBB","2013B","92832","F","East Anglian Region","A Level or Equivalent","20-30%","0-35","0","60","N","Pass"
"BBB","2013B","92947","F","Wales","HE Qualification","10-20","35-55","0","120","N","Distinction"
"BBB","2013B","92993","F","East Anglian Region","Lower Than A Level","10-20","0-35","3","135","N","Pass"
"BBB","2013B","94616","F","South Region","Lower Than A Level","80-90%","0-35","1","60","N","Fail"
"BBB","2013B","97154","F","North Region","A Level or Equivalent","20-30%","0-35","0","60","N","Pass"
"BBB","2013B","98313","F","Scotland","HE Qualification","30-40%","35-55","0","60","N","Pass"
"BBB","2013B","104054","F","South East Region","Lower Than A Level","90-100%","35-55","0","120","N","Distinction"
"BBB","2013B","108377","F","South Region","Lower Than A Level","30-40%","35-55","0","120","Y","Pass"
"BBB","2013B","108589","F","Ireland","A Level or Equivalent","70-80%","0-35","0","60","N","Pass"
"BBB","2013B","109938","F","Wales","HE Qualification","60-70%","0-35","0","120","N","Distinction"
"BBB","2013B","110881","F","East Anglian Region","A Level or Equivalent","40-50%","0-35","0","60","N","Pass"
"BBB","2013B","116603","F","Scotland","HE Qualification","20-30%","35-55","0","60","N","Distinction"
"BBB","2013B","117071","M","London Region","A Level or Equivalent","40-50%","35-55","0","60","N","Fail"
"BBB","2013B","120994","F","London Region","Lower Than A Level","30-40%","35-55","0","70","Y","Fail"
"BBB","2013B","123860","F","East Anglian Region","A Level or Equivalent","70-80%","35-55","0","60","Y","Pass"
"BBB","2013B","126322","F","Scotland","A Level or Equivalent","10-20","35-55","1","60","N","Pass"
"BBB","2013B","126411","F","West Midlands Region","Lower Than A Level","0-10%","0-35","2","60","Y","Fail"
"BBB","2013B","133155","F","Yorkshire Region","HE Qualification","50-60%","35-55","0","60","N","Pass"
"BBB","2013B","133748","F","Scotland","Lower Than A Level","0-10%","35-55","0","70","N","Fail"
"BBB","2013B","141823","F","East Midlands Region","A Level or Equivalent","0-10%","0-35","0","120","N","Withdrawn"
"BBB","2013B","142324","F","East Anglian Region","Lower Than A Level","30-40%","35-55","0","60","N","Fail"
"BBB","2013B","143741","F","London Region","A Level or Equivalent","50-60%","0-35","0","120","Y","Distinction"
"BBB","2013B","145544","M","East Midlands Region","A Level or Equivalent","20-30%","0-35","0","60","N","Pass"
"BBB","2013B","147876","M","South West Region","A Level or Equivalent","30-40%","0-35","0","60","N","Fail"
"BBB","2013B","151697","F","East Midlands Region","A Level or Equivalent","90-100%","0-35","0","60","Y","Pass"
"BBB","2013B","152153","F","East Anglian Region","Lower Than A Level","40-50%","0-35","1","60","N","Withdrawn"
"BBB","2013B","152910","M","West Midlands Region","A Level or Equivalent",,"0-35","0","60","N","Pass"
"BBB","2013B","152929","F","North Western Region","Lower Than A Level","10-20","35-55","0","60","N","Pass"
"BBB","2013B","153212","F","South West Region","Lower Than A Level","40-50%","35-55","1","120","N","Distinction"
"BBB","2013B","153704","F","West Midlands Region","Lower Than A Level","0-10%","0-35","1","120","N","Withdrawn"
"BBB","2013B","154027","F","South East Region","Lower Than A Level","70-80%","0-35","0","60","N","Pass"
"BBB","2013B","154125","F","Yorkshire Region","A Level or Equivalent","50-60%","0-35","0","60","N","Fail"
"BBB","2013B","154540","F","North Western Region","HE Qualification","50-60%","0-35","0","60","N","Pass"
"BBB","2013B","156835","F","London Region","A Level or Equivalent","40-50%","35-55","0","60","N","Pass"
"BBB","2013B","161678","F","North Western Region","Lower Than A Level","0-10%","0-35","1","60","N","Fail"
"BBB","2013B","165243","M","Wales","A Level or Equivalent","50-60%","35-55","0","60","N","Pass"
"BBB","2013B","169515","F","East Anglian Region","A Level or Equivalent","30-40%","0-35","0","60","N","Withdrawn"
"BBB","2013B","170356","F","East Anglian Region","Lower Than A Level","20-30%","35-55","0","120","N","Withdrawn"
"BBB","2013B","173316","F","London Region","A Level or Equivalent","10-20","0-35","0","60","N","Fail"
"BBB","2013B","173335","F","North Western Region","Lower Than A Level","40-50%","0-35","1","60","N","Fail"
"BBB","2013B","179605","F","South West Region","A Level or Equivalent","60-70%","0-35","0","60","N","Withdrawn"
"BBB","2013B","182824","F","East Anglian Region","Lower Than A Level","0-10%","35-55","2","120","N","Pass"
"BBB","2013B","183806","F","South West Region","A Level or Equivalent","80-90%","35-55","1","225","Y","Fail"
"BBB","2013B","185349","F","Scotland","Lower Than A Level","30-40%","35-55","2","60","N","Pass"
"BBB","2013B","186670","F","Yorkshire Region","HE Qualification","40-50%","35-55","1","60","N","Fail"
"BBB","2013B","186780","F","North Western Region","A Level or Equivalent","10-20","35-55","2","120","Y","Withdrawn"
"BBB","2013B","186988","F","Yorkshire Region","Lower Than A Level","0-10%","0-35","2","60","N","Fail"
"BBB","2013B","187793","F","North Western Region","Lower Than A Level","10-20","35-55","1","120","Y","Fail"
"BBB","2013B","188152","M","South East Region","Lower Than A Level","50-60%","0-35","0","120","N","Distinction"
"BBB","2013B","192424","M","Wales","A Level or Equivalent","70-80%","35-55","0","120","N","Pass"
"BBB","2013B","193822","F","Wales","Lower Than A Level","10-20","35-55","0","60","Y","Pass"
"BBB","2013B","197595","F","London Region","HE Qualification","30-40%","35-55","0","60","N","Pass"
"BBB","2013B","198956","M","Yorkshire Region","Lower Than A Level","50-60%","35-55","0","60","N","Pass"
"BBB","2013B","199520","F","Scotland","HE Qualification","40-50%","0-35","0","60","N","Pass"
"BBB","2013B","200905","F","London Region","HE Qualification","0-10%","0-35","1","60","N","Fail"
"BBB","2013B","203108","F","South West Region","A Level or Equivalent","60-70%","0-35","1","120","N","Fail"
"BBB","2013B","203481","F","West Midlands Region","Lower Than A Level","70-80%","0-35","0","60","N","Pass"
"BBB","2013B","204746","F","London Region","A Level or Equivalent","0-10%","0-35","0","120","N","Distinction"
"BBB","2013B","226374","M","Wales","A Level or Equivalent","70-80%","35-55","0","60","N","Fail"
"BBB","2013B","226827","F","South East Region","A Level or Equivalent","40-50%","0-35","0","60","N","Pass"
"BBB","2013B","229240","F","East Anglian Region","A Level or Equivalent","90-100%","0-35","0","60","N","Distinction"
"BBB","2013B","229426","F","West Midlands Region","Lower Than A Level","20-30%","0-35","0","60","N","Distinction"
"BBB","2013B","232695","F","Wales","Lower Than A Level","80-90%","0-35","0","60","N","Pass"
"BBB","2013B","235097","F","North Western Region","Lower Than A Level","40-50%","0-35","1","60","Y","Fail"
"BBB","2013B","237304","M","North Region","A Level or Equivalent","0-10%","0-35","0","60","N","Fail"
"BBB","2013B","237913","F","North Western Region","A Level or Equivalent","20-30%","0-35","1","60","N","Fail"
"BBB","2013B","242149","F","North Western Region","Lower Than A Level","0-10%","0-35","0","180","N","Withdrawn"
"BBB","2013B","245404","F","North Western Region","Lower Than A Level","10-20","35-55","1","60","N","Fail"
"BBB","2013B","247267","M","South East Region","Lower Than A Level","70-80%","0-35","0","60","N","Fail"
"BBB","2013B","248103","F","Yorkshire Region","A Level or Equivalent","50-60%","0-35","0","60","N","Pass"
"BBB","2013B","249534","F","East Midlands Region","A Level or Equivalent","20-30%","35-55","0","60","N","Pass"
"BBB","2013B","251351","F","Scotland","Lower Than A Level","10-20","0-35","0","60","N","Pass"
"BBB","2013B","252340","F","Scotland","A Level or Equivalent","80-90%","0-35","2","120","Y","Fail"
"BBB","2013B","252652","F","London Region","A Level or Equivalent","50-60%","35-55","0","120","N","Withdrawn"
"BBB","2013B","255347","F","West Midlands Region","Lower Than A Level","90-100%","0-35","0","60","N","Pass"
"BBB","2013B","255998","F","London Region","Lower Than A Level","50-60%","35-55","2","60","N","Pass"
"BBB","2013B","262294","F","North Western Region","Lower Than A Level","0-10%","0-35","2","60","Y","Withdrawn"
"BBB","2013B","262454","F","South Region","A Level or Equivalent","40-50%","0-35","1","120","Y","Fail"
"BBB","2013B","262741","F","North Region","A Level or Equivalent","40-50%","0-35","0","60","N","Pass"
"BBB","2013B","263499","F","Ireland","Lower Than A Level","40-50%","35-55","0","325","N","Pass"
"BBB","2013B","265958","F","North Western Region","Lower Than A Level","10-20","0-35","2","120","N","Withdrawn"
"BBB","2013B","267761","F","West Midlands Region","A Level or Equivalent","0-10%","0-35","1","120","N","Pass"
"BBB","2013B","269076","F","Yorkshire Region","Lower Than A Level","20-30%","0-35","1","180","N","Withdrawn"
"BBB","2013B","270567","F","North Region","A Level or Equivalent","20-30%","0-35","1","60","N","Pass"
"BBB","2013B","271036","F","Ireland","Lower Than A Level","80-90%","35-55","3","60","N","Pass"
"BBB","2013B","272580","F","South West Region","Lower Than A Level","30-40%","35-55","0","120","N","Pass"
"BBB","2013B","273731","F","South East Region","A Level or Equivalent","40-50%","0-35","0","60","N","Pass"
"BBB","2013B","273877","M","London Region","Lower Than A Level","0-10%","35-55","0","60","N","Fail"
"BBB","2013B","276717","F","West Midlands Region","A Level or Equivalent","60-70%","0-35","0","120","N","Distinction"
"BBB","2013B","277733","F","Scotland","HE Qualification","30-40%","0-35","1","60","Y","Pass"
"BBB","2013B","278447","F","South East Region","A Level or Equivalent","60-70%","0-35","0","60","N","Pass"
"BBB","2013B","281564","F","Wales","Lower Than A Level","10-20","0-35","0","60","N","Pass"
"BBB","2013B","284076","F","South Region","A Level or Equivalent","70-80%","0-35","0","120","N","Pass"
"BBB","2013B","285633","F","West Midlands Region","HE Qualification","20-30%","0-35","1","120","Y","Fail"
"BBB","2013B","285912","F","Wales","HE Qualification","50-60%","35-55","0","90","N","Pass"
"BBB","2013B","288380","F","South West Region","Lower Than A Level","50-60%","0-35","3","120","Y","Fail"
"BBB","2013B","288990","M","West Midlands Region","HE Qualification","40-50%","35-55","1","60","N","Withdrawn"
"BBB","2013B","290550","F","Ireland","A Level or Equivalent","80-90%","0-35","0","120","N","Pass"
"BBB","2013B","291037","F","West Midlands Region","Lower Than A Level","10-20","35-55","0","120","N","Pass"
"BBB","2013B","291194","F","East Anglian Region","Lower Than A Level","30-40%","0-35","0","90","N","Pass"
"BBB","2013B","292027","M","East Midlands Region","Lower Than A Level","40-50%","0-35","0","60","N","Withdrawn"
"BBB","2013B","294381","F","South Region","Lower Than A Level","80-90%","0-35","0","60","N","Fail"
"BBB","2013B","294961","F","London Region","A Level or Equivalent","10-20","0-35","2","300","N","Pass"
"BBB","2013B","294999","M","Wales","A Level or Equivalent","90-100%","0-35","0","60","N","Withdrawn"
"BBB","2013B","295754","F","Scotland","A Level or Equivalent","90-100%","0-35","0","120","N","Pass"
"BBB","2013B","297484","F","North Region","A Level or Equivalent","10-20","0-35","1","60","N","Pass"
"BBB","2013B","298322","F","East Anglian Region","HE Qualification","30-40%","35-55","1","120","N","Pass"
"BBB","2013B","298476","F","North Region","A Level or Equivalent","70-80%","0-35","2","130","N","Pass"
"BBB","2013B","306886","F","South Region","Lower Than A Level","90-100%","0-35","0","150","N","Pass"
"BBB","2013B","309175","F","London Region","Lower Than A Level","40-50%","0-35","0","60","N","Pass"
"BBB","2013B","309709","M","South East Region","Lower Than A Level","90-100%","35-55","3","195","N","Pass"
"BBB","2013B","309734","F","East Midlands Region","Lower Than A Level","0-10%","0-35","2","60","N","Pass"
"BBB","2013B","311042","F","East Anglian Region","Lower Than A Level","20-30%","0-35","3","180","N","Withdrawn"
"BBB","2013B","312141","F","Yorkshire Region","Lower Than A Level","20-30%","35-55","1","60","N","Fail"
"BBB","2013B","313810","F","South Region","A Level or Equivalent","40-50%","0-35","0","60","N","Distinction"
"BBB","2013B","315186","F","South West Region","A Level or Equivalent","40-50%","35-55","1","60","N","Pass"
"BBB","2013B","316841","F","South East Region","A Level or Equivalent","30-40%","35-55","0","60","N","Pass"
"BBB","2013B","318056","F","Wales","A Level or Equivalent","20-30%","0-35","0","150","N","Pass"
"BBB","2013B","318101","F","London Region","Lower Than A Level","20-30%","0-35","0","60","N","Fail"
"BBB","2013B","319209","F","South Region","Post Graduate Qualification","90-100%","35-55","0","120","N","Distinction"
"BBB","2013B","322960","F","Wales","Lower Than A Level","20-30%","0-35","0","150","N","Withdrawn"
"BBB","2013B","324236","F","Wales","Lower Than A Level","60-70%","35-55","0","60","N","Withdrawn"
"BBB","2013B","325511","F","East Anglian Region","A Level or Equivalent","70-80%","0-35","0","180","N","Pass"
"BBB","2013B","325879","F","Yorkshire Region","Lower Than A Level","0-10%","0-35","0","60","N","Pass"
"BBB","2013B","326012","F","London Region","A Level or Equivalent","0-10%","0-35","0","90","N","Fail"
"BBB","2013B","329226","M","Scotland","HE Qualification","20-30%","0-35","0","120","N","Pass"
"BBB","2013B","329321","F","West Midlands Region","Lower Than A Level","80-90%","0-35","2","60","N","Fail"
