user_id,assessment_no,actual_category,predicted_category,abs_difference
2535788,2,5,2,3
2535788,3,-1,-1,0
2540362,2,3,4,1
2540362,3,5,5,0
2540362,4,2,4,2
2540362,5,4,5,1
2540362,6,2,2,0
2540362,7,0,5,5
2540362,8,2,5,3
2540362,9,2,5,3
2540362,10,-1,4,5
2541120,2,4,4,0
2541120,3,5,5,0
2541120,4,4,4,0
2541120,5,5,5,0
2541120,6,4,5,1
2541120,7,5,5,0
2541120,8,4,5,1
2541120,9,5,5,0
2541120,10,5,5,0
2541120,11,-1,5,6
2553749,2,3,4,1
2553749,3,5,5,0
2553749,4,4,4,0
2553749,5,5,5,0
2553749,6,3,5,2
2553749,7,4,5,1
2553749,8,5,5,0
2553749,9,1,5,4
2553749,10,-1,5,6
2560219,2,2,2,0
2560219,3,2,5,3
2560219,4,-1,2,3
2569163,2,4,4,0
2569163,3,5,5,0
2569163,4,4,5,1
2569163,5,5,5,0
2569163,6,4,5,1
2569163,7,4,5,1
2569163,8,4,5,1
2569163,9,5,5,0
2569163,10,4,5,1
2569163,11,4,5,1
2571447,2,-1,4,5
2572118,2,-1,4,5
2575914,2,2,4,2
2575914,3,4,5,1
2575914,4,5,3,2
2575914,5,-1,5,6
2578567,2,3,4,1
2578567,3,4,5,1
2578567,4,2,4,2
2578567,5,-1,5,6
2579459,2,4,4,0
2579459,3,5,5,0
2579459,4,4,4,0
2579459,5,5,5,0
2579459,6,5,5,0
2579459,7,5,5,0
2579459,8,5,5,0
2579459,9,4,5,1
2579459,10,5,5,0
2579459,11,5,-1,6
2580439,2,3,4,1
2580439,3,5,5,0
2580439,4,4,5,1
2580439,5,5,5,0
2580439,6,3,5,2
2580439,7,5,5,0
2580439,8,4,5,1
2580439,9,4,5,1
2580439,10,3,5,2
2580439,11,4,5,1
2581528,2,2,4,2
2581528,3,5,5,0
2581528,4,3,3,0
2581528,5,0,5,5
2581528,6,2,5,3
2581528,7,3,5,2
2581528,8,3,5,2
2581528,9,5,5,0
2581528,10,-1,4,5
2591421,2,4,2,2
2591421,3,0,5,5
2591421,4,5,5,0
2591421,5,2,2,0
2591421,6,2,2,0
2591421,7,4,0,4
2591421,8,-1,5,6
2602809,2,5,2,3
2602809,3,5,-1,6
2602809,4,4,5,1
2602809,5,5,5,0
2602809,6,4,5,1
2602809,7,4,5,1
2602809,8,5,5,0
2602809,9,4,5,1
2602809,10,5,5,0
2602809,11,5,-1,6
2608235,2,2,2,0
2608235,3,5,5,0
2608235,4,1,2,1
2608235,5,4,5,1
2608235,6,2,2,0
2608235,7,2,5,3
2608235,8,2,2,0
2608235,9,5,5,0
2608235,10,2,3,1
2608235,11,2,5,3
2608453,2,3,4,1
2608453,3,4,5,1
2608453,4,3,4,1
2608453,5,4,5,1
2608453,6,4,4,0
2608453,7,4,4,0
2608453,8,4,4,0
2608453,9,2,5,3
2608453,10,5,5,0
2608453,11,-1,-1,0
2612483,2,4,5,1
2612483,3,5,5,0
2612483,4,5,5,0
2612483,5,4,5,1
2612483,6,4,5,1
2612483,7,5,5,0
2612483,8,5,5,0
2612483,9,5,5,0
2612483,10,5,5,0
2612483,11,5,5,0
2616787,2,3,4,1
2616787,3,5,5,0
2616787,4,5,4,1
2616787,5,2,5,3
2616787,6,2,5,3
2616787,7,3,5,2
2616787,8,4,5,1
2616787,9,3,5,2
2616787,10,2,4,2
2616787,11,-1,-1,0
2617596,2,5,5,0
2617596,3,5,5,0
2617596,4,5,5,0
2617596,5,5,5,0
2617596,6,5,5,0
2617596,7,5,5,0
2617596,8,4,5,1
2617596,9,5,5,0
2617596,10,5,5,0
2617596,11,5,5,0
2617999,2,3,2,1
2617999,3,4,5,1
2617999,4,3,4,1
2617999,5,4,5,1
2617999,6,2,3,1
2617999,7,4,5,1
2617999,8,2,3,1
2617999,9,3,5,2
2617999,10,2,3,1
2617999,11,-1,5,6
2620178,2,4,4,0
2620178,3,5,5,0
2620178,4,4,5,1
2620178,5,5,5,0
2620178,6,4,5,1
2620178,7,5,5,0
2620178,8,3,5,2
2620178,9,5,5,0
2620178,10,3,5,2
2620178,11,5,5,0
2622465,2,2,4,2
2622465,3,5,5,0
2622465,4,2,5,3
2622465,5,5,5,0
2622465,6,3,4,1
2622465,7,5,5,0
2622465,8,3,5,2
2622465,9,5,5,0
2622465,10,3,5,2
2622465,11,5,5,0
2626410,2,5,4,1
2626410,3,0,3,3
2626410,4,3,1,2
2626410,5,0,1,1
2626410,6,-1,2,3
2635505,2,4,4,0
2635505,3,5,5,0
2635505,4,3,4,1
2635505,5,5,5,0
2635505,6,5,4,1
2635505,7,2,5,3
2635505,8,4,5,1
2635505,9,0,5,5
2635505,10,3,5,2
2635505,11,0,5,5
2635829,2,5,4,1
2635829,3,5,3,2
2635829,4,5,5,0
2635829,5,5,5,0
2635829,6,4,5,1
2635829,7,5,5,0
2635829,8,5,5,0
2635829,9,5,5,0
2635829,10,5,5,0
2635829,11,5,5,0
2639611,2,4,4,0
2639611,3,5,5,0
2639611,4,4,5,1
